0	0.006819
1	0.000463
2	0.000284
3	0.000214
4	0.000172
5	0.000146
6	0.000139
7	0.000133
8	0.000129
9	0.00013
10	0.00014
11	0.000133
12	0.000145
13	0.00019
14	0.000233
15	0.000323
16	0.000461
17	0.000594
18	0.000819
19	0.000905
20	0.0009
21	0.000991
22	0.001022
23	0.000977
24	0.001013
25	0.000966
26	0.000976
27	0.000993
28	0.001011
29	0.001045
30	0.001055
31	0.001059
32	0.001096
33	0.00113
34	0.001225
35	0.0013
36	0.001354
37	0.001445
38	0.001576
39	0.001678
40	0.001855
41	0.001997
42	0.002138
43	0.002412
44	0.002671
45	0.002873
46	0.00313
47	0.003382
48	0.003704
49	0.003973
50	0.004399
51	0.004803
52	0.00503
53	0.005511
54	0.005831
55	0.006375
56	0.006719
57	0.007174
58	0.007742
59	0.00827
60	0.009456
61	0.009314
62	0.010696
63	0.011772
64	0.013128
65	0.013928
66	0.014913
67	0.016145
68	0.017389
69	0.019369
70	0.020616
71	0.022593
72	0.024891
73	0.027095
74	0.02941
75	0.03299
76	0.035157
77	0.039107
78	0.042339
79	0.047119
80	0.052201
81	0.05729
82	0.063381
83	0.070562
84	0.077908
85	0.085115
86	0.095336
87	0.106912
88	0.114308
89	0.132492
90	0.146545
91	0.163577
92	0.181778
93	0.201247
94	0.223312
95	0.24742
96	0.263767
97	0.29427
98	0.320358
99	0.34317
100	0.365629
101	0.407206
102	0.424726
103	0.450568
104	0.46951
105	0.520579
106	0.531373
107	0.537766
108	0.517946
109	0.556324
110	0.468343
